post,week,publish_date,pillar,funnel_stage,visual_family,on_image_hook,visual_direction,source_asset,caption_job,cta,primary_channels
1,1,2026-08-04,Shop-owner reality,Awareness,Documentary photo,Marketing that knows your shop.,Real service-counter conversation with a quiet cream headline block,public/site-media/hero-thunderbird-shop.webp,Establish category specificity and the core promise,Visit profile,"Instagram; Facebook; LinkedIn"
2,1,2026-08-06,Shop-owner reality,Awareness,Documentary photo,Is the marketing still on you?,Candid planning meeting with the owner visibly involved,public/site-media/mikes-auto-works.webp,Name the burden without immediately selling,Comment with the task you would hand off,"Instagram; Facebook; LinkedIn"
3,1,2026-08-08,Shop-owner reality,Awareness,Editorial statement,More cars. Less chaos.,Large navy type on cream with a single green progress line,Turnkey brand typography,Create a memorable outcome-focused brand line,Save this,"Instagram; Facebook"
4,2,2026-08-11,People and culture,Trust,Documentary photo,The team behind the plan.,Real Turnkey team portrait with minimal overlay,public/site-media/team-turnkey-2025.webp,Introduce the people behind the promise,Meet the team,"Instagram; Facebook; LinkedIn"
5,2,2026-08-13,People and culture,Trust,Documentary photo,Shop owners deserve a plan.,Founder portrait with an editorial margin and short founder note,public/site-media/founder-carrie-lynn.webp,Connect the company point of view to a real person,Read our story,"Instagram; Facebook; LinkedIn"
6,2,2026-08-15,Proof and testimonials,Consideration,Documentary quote,They take care of everything.,Client portrait with a short quote and restrained attribution,public/images/clients/len-pritchett.jpeg,Show relief and operational trust through the owner's words,See more owner stories,"Instagram; Facebook; LinkedIn"
7,3,2026-08-18,Proof and testimonials,Consideration,Documentary quote,One of my best investments.,Client portrait with the phrase isolated as the focal point,public/images/clients/jason-smith.jpg,Frame Turnkey as an investment rather than a cost,See more owner stories,"Instagram; Facebook; LinkedIn"
8,3,2026-08-20,Proof and testimonials,Consideration,Documentary quote,$300k/month. One year.,Client portrait paired with one supported result and qualifier,public/images/clients/steve-killian.jpeg,Show a specific second-location ramp story,View client results,"Instagram; Facebook; LinkedIn"
9,3,2026-08-22,Proof and testimonials,Consideration,Proof card,130% YoY growth.,Dominant metric with real chart artifact as supporting evidence,public/site-media/proof/torque-european-growth.png,Explain the coordinated work behind the result,View client results,"Instagram; Facebook; LinkedIn"
10,4,2026-08-25,Proof and testimonials,Consideration,Proof card,500+ cars. $300k.,Large two-part metric and clipped real report,public/site-media/proof/auto-medics-growth.png,Connect car count and revenue rather than celebrating a vanity metric,View client results,"Instagram; Facebook; LinkedIn"
11,4,2026-08-27,Proof and testimonials,Consideration,Proof card,First $200k month.,Milestone language with real report presented like an attached document,public/site-media/proof/sports-car-shop-growth.png,Show what crossing a meaningful threshold looks like,View client results,"Instagram; Facebook; LinkedIn"
12,4,2026-08-29,Proof and testimonials,Consideration,Proof card,1–2 to 15–20 reviews.,Simple before-and-after metric with real review chart,public/site-media/proof/chris-matthews-reviews.png,Teach that reputation growth comes from consistency,See reputation marketing,"Instagram; Facebook; LinkedIn; GBP"
13,5,2026-09-01,Education and guidance,Awareness,Editorial statement,Clicks aren't booked cars.,Split contrast between a muted click and a highlighted booked appointment,Turnkey brand typography,Explain the difference between activity and outcomes,What are you tracking?,"Instagram; Facebook; LinkedIn"
14,5,2026-09-03,Shop-owner reality,Awareness,Documentary photo,Empty bays are expensive.,Naturally lit empty repair bay with one short headline,Generated generic documentary scene,Create urgency around demand planning before a slowdown,Save this,"Instagram; Facebook"
15,5,2026-09-05,Education and guidance,Awareness,Documentary photo,The phone call is marketing.,Candid service advisor on the phone with no fake UI,Generated generic documentary scene,Connect lead generation to call handling and booked work,Share with your front counter,"Instagram; Facebook; LinkedIn"
16,6,2026-09-08,Education and guidance,Awareness,Working note,Direct mail still works.,Realistic postcard planning scene with a small handwritten annotation,Generated generic documentary scene,Explain that list offer timing and follow-up make the channel work,Save this,"Instagram; Facebook; LinkedIn; GBP"
17,6,2026-09-10,Shop-owner reality,Awareness,Documentary photo,Keep the customers you earned.,Mechanic and shop context with quiet retention headline,public/site-media/pearson-auto-repair-shop.webp,Make retention feel financially practical rather than abstract,Learn about retention,"Instagram; Facebook; GBP"
18,6,2026-09-12,Education and guidance,Trust,Documentary photo,Track what matters.,Owner reviewing a printed report with natural shop-office detail,Generated generic documentary scene,List the small set of metrics an owner can defend,Save the metric list,"Instagram; Facebook; LinkedIn"
19,7,2026-09-15,Education and guidance,Trust,Working note,Calls. Cars. Revenue.,Three-stage measurement line with one real proof artifact,public/site-media/proof/auto-medics-growth.png,Show how reporting should follow the money,See how we report,"Instagram; Facebook; LinkedIn"
20,7,2026-09-17,Education and guidance,Awareness,Documentary photo,Market to the right car.,Real shop diagnostic image with a concise ideal-customer message,public/site-media/mm-shop.webp,Explain that more volume is not always better demand,Who is your ideal customer?,"Instagram; Facebook; LinkedIn"
21,7,2026-09-19,Education and guidance,Trust,Working note,Make the next move obvious.,Actual marketing-plan artifact with restrained annotation,public/site-media/marketing-plan.webp,Explain the job of a useful marketing plan,Save this,"Instagram; Facebook; LinkedIn"
