post,filename,design_family,on_image_copy,caption,cta,source_asset,format
1,01-marketing-that-knows-your-auto-repair-shop.png,type,Marketing that knows your auto repair shop.,"Auto repair marketing works better when the people running it understand the shop. Turnkey connects strategy, execution, and reporting so your next move is clear.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
2,02-more-calls-more-cars-more-revenue.png,type,"More calls.
More cars.
More revenue.","The goal is not more marketing activity. It is more of the right calls, more booked cars, and more revenue — with a team that owns the work.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
3,03-auto-repair-shops-served-across-the-u-s.png,stat,auto repair shops served across the U.S.,More than 300 auto repair shops have trusted Turnkey with their marketing. Every market is different; the playbook should still be built for the realities of a repair shop.,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
4,04-years-focused-on-auto-repair-marketing.png,stat,years focused on auto repair marketing.,"For 13+ years, Turnkey has focused on auto repair. That context helps us ask better questions, spot problems faster, and build plans shop owners can actually use.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
5,05-your-marketing-department-without-the-payroll.png,service,Your marketing department. Without the payroll.,"VIP Marketing Manager brings strategy, creative, execution, vendor coordination, and reporting together under one accountable team.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
6,06-they-take-care-of-everything.png,quote,They take care of everything.,"‘They take care of everything.’ That is the standard: fewer loose ends, fewer vendors to chase, and a clear plan someone owns.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
7,07-one-of-the-best-investments-i-have-made-in-my-company.png,quote,One of the best investments I have made in my company.,Marketing should feel like an investment you can defend — not another line item you hope is working.,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
8,08-we-got-to-300-000-month-within-one-year-at-a-brand-new-shop.png,quote,"We got to $300,000/month within one year at a brand new shop.","A new location needs more than awareness. It needs coordinated demand, follow-through, and a plan that can adapt as the shop ramps.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
9,09-year-over-year-revenue-growth.png,proof,year-over-year revenue growth.,A measurable growth story from Torque European: 130% year-over-year revenue growth. Every shop and market is different; client results vary.,Learn more at turnkeymarketing.us,public/site-media/proof/torque-european-growth.png,1080x1080 PNG
10,10-cars-plus-300k-revenue-after-onboarding.png,proof,cars — plus $300k revenue after onboarding.,Auto Medics crossed 500 cars and $300k in revenue after onboarding. A strong result tied to coordinated execution. Client results vary.,Learn more at turnkeymarketing.us,public/site-media/proof/auto-medics-growth.png,1080x1080 PNG
11,11-monthly-revenue-crossed-for-the-first-time.png,proof,monthly revenue crossed for the first time.,The Sports Car Shop crossed $200k in monthly revenue for the first time after onboarding. Client results vary.,Learn more at turnkeymarketing.us,public/site-media/proof/sports-car-shop-growth.png,1080x1080 PNG
12,12-reviews-per-month-up-from-1-2.png,proof,reviews per month — up from 1-2.,Chris Matthews Automotive moved from 1-2 reviews a month to 15-20. Reputation growth gets easier when the process becomes consistent. Client results vary.,Learn more at turnkeymarketing.us,public/site-media/proof/chris-matthews-reviews.png,1080x1080 PNG
13,13-vip-marketing-manager.png,service,VIP Marketing Manager,Need the strategy and the execution? VIP Marketing Manager gives your shop an outside marketing department without building one in-house.,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
14,14-directtrack-marketing.png,service,DirectTrack Marketing,DirectTrack combines precision targeting with transparent ROI reporting so new-customer acquisition is easier to evaluate.,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
15,15-direct-mail.png,service,Direct Mail,"Direct mail is strongest when design, list strategy, timing, offers, and follow-up are planned as one campaign — not separate print jobs.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
16,16-social-media-marketing.png,service,Social Media Marketing,"Consistency matters. Turnkey keeps Facebook, Instagram, and Google Business Profile content moving while supporting comments and reviews.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
17,17-retention-marketing.png,service,Retention Marketing,"Acquisition gets the first visit. Retention earns the next one. Build a steady rhythm across newsletters, thank-you messages, and CRM follow-up.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
18,18-digital-marketing.png,service,Digital Marketing,"Local visibility is a system: reviews, Google Business Profile, your website, and your vendors all need to reinforce one another.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
19,19-boost-days.png,flow,Boost Days,"When the schedule needs support, a focused campaign can move faster than a long rebuild. Boost Days coordinate the message across the channels that matter.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
20,20-marketing-consulting.png,service,Marketing Consulting,"Sometimes you do not need another vendor. You need an experienced set of eyes on what to change, start, stop, or keep.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
21,21-a-useful-report-answers-four-questions.png,list,A useful report answers four questions.,A useful marketing report should answer four questions: What do we keep? What do we fix? What do we stop funding? What do we run next?,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
22,22-empty-bays-are-expensive.png,type,Empty bays are expensive.,Do not wait for empty bays to start thinking about demand. Strong marketing gives the shop more control over timing and customer mix.,Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
23,23-follow-the-metric-all-the-way-to-the-shop.png,compare,Follow the metric all the way to the shop.,"Clicks can be useful, but they are not the finish line. Track the path from spend to calls, booked appointments, car count, and revenue.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
24,24-a-stronger-google-profile-looks-cared-for.png,list,A stronger Google profile looks cared for.,"For many customers, your Google Business Profile is the first impression of the shop. Treat it like a front door: current, credible, and easy to trust.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
25,25-direct-mail-isn-t-dead-bad-targeting-is.png,type,Direct mail isn't dead. Bad targeting is.,"Direct mail still works when the list, offer, timing, and follow-up are precise. The channel is not the strategy — the plan is.",Learn more at turnkeymarketing.us,Turnkey brand typography and original diagrams,1080x1080 PNG
