post,week,publish_date,pillar,funnel_stage,filename,visual_family,on_image_hook,caption,cta,primary_channels,source_asset,format
1,1,2026-08-04,Shop-owner reality,Awareness,01-marketing-that-knows-your-shop.png,Documentary photo,Marketing that knows your shop.,"Auto repair marketing works differently when the team running it understands the shop. Turnkey connects strategy, execution, and reporting so the next move is clear — and the owner is not translating between five vendors.",Visit profile,Instagram; Facebook; LinkedIn,public/site-media/hero-thunderbird-shop.webp,1080x1350 PNG
2,1,2026-08-06,Shop-owner reality,Awareness,02-is-the-marketing-still-on-you.png,Documentary photo,Is the marketing still on you?,"If every postcard, ad, report, and slow week still ends up on your desk, you do not really have a marketing department yet. You have more tasks. What is the first marketing responsibility you would hand off?",Comment with the task you would hand off,Instagram; Facebook; LinkedIn,public/site-media/mikes-auto-works.webp,1080x1350 PNG
3,1,2026-08-08,Shop-owner reality,Awareness,03-more-cars-less-chaos.png,Editorial statement,More cars. Less chaos.,"The goal is not more activity. It is more of the right cars, a steadier schedule, and fewer loose ends for the owner to manage. Save this as the filter for the next marketing idea that lands in your inbox.",Save this,Instagram; Facebook,Turnkey original typography and diagrams,1080x1350 PNG
4,2,2026-08-11,People and culture,Trust,04-the-team-behind-the-plan.png,Documentary photo,The team behind the plan.,"Behind every campaign is a team coordinating strategy, copy, creative, reporting, and the follow-through that keeps work moving. You run the shop. We will take it from here.",Meet the team,Instagram; Facebook; LinkedIn,public/site-media/team-turnkey-2025.webp,1080x1350 PNG
5,2,2026-08-13,People and culture,Trust,05-shop-owners-deserve-a-plan.png,Documentary photo,Shop owners deserve a plan.,"Shop owners deserve a marketing plan they can understand and defend. That means knowing what is working, what needs attention, and what should happen next — without learning an agency's language first.",Read our story,Instagram; Facebook; LinkedIn,public/site-media/founder-carrie-lynn.webp,1080x1350 PNG
6,2,2026-08-15,Proof and testimonials,Consideration,06-they-take-care-of-everything.png,Documentary quote,They take care of everything.,"‘They take care of everything.’ That is the standard: fewer vendors to chase, fewer approvals floating around, and one team responsible for moving the plan forward.",See more owner stories,Instagram; Facebook; LinkedIn,public/images/clients/len-pritchett.jpeg,1080x1350 PNG
7,3,2026-08-18,Proof and testimonials,Consideration,07-one-of-my-best-investments.png,Documentary quote,One of my best investments.,"Marketing should be an investment you can evaluate, not a recurring invoice you hope is helping. Jason Smith called Turnkey one of the best investments he has made in his company.",See more owner stories,Instagram; Facebook; LinkedIn,public/images/clients/jason-smith.jpg,1080x1350 PNG
8,3,2026-08-20,Proof and testimonials,Consideration,08-300k-month-one-year.png,Documentary quote,$300k/month. One year.,"A new location needs more than awareness. It needs coordinated demand, follow-through, and a plan that adapts as the shop ramps. Steve Killian's reported result is client-specific; results vary.",View client results,Instagram; Facebook; LinkedIn,public/images/clients/steve-killian.jpeg,1080x1350 PNG
9,3,2026-08-22,Proof and testimonials,Consideration,09-yoy-revenue-growth.png,Proof card,YoY revenue growth.,Torque European recorded 130% year-over-year revenue growth. The useful question is not only what the number became — it is which coordinated decisions helped move it. Client results vary.,View client results,Instagram; Facebook; LinkedIn,public/site-media/proof/torque-european-growth.png,1080x1350 PNG
10,4,2026-08-25,Proof and testimonials,Consideration,10-cars-plus-300k.png,Proof card,cars — plus $300k.,Auto Medics crossed 500 cars and $300k in revenue after onboarding. Car count and revenue belong in the same conversation because volume without quality is not the goal. Client results vary.,View client results,Instagram; Facebook; LinkedIn,public/site-media/proof/auto-medics-growth.png,1080x1350 PNG
11,4,2026-08-27,Proof and testimonials,Consideration,11-first-month-across-the-line.png,Proof card,First month across the line.,The Sports Car Shop crossed $200k in monthly revenue for the first time after onboarding. Milestones matter when the reporting makes the work behind them visible. Client results vary.,View client results,Instagram; Facebook; LinkedIn,public/site-media/proof/sports-car-shop-growth.png,1080x1350 PNG
12,4,2026-08-29,Proof and testimonials,Consideration,12-reviews-per-month.png,Proof card,reviews per month.,Chris Matthews Automotive moved from 1–2 reviews a month to 15–20. Reputation growth becomes more dependable when the process is consistent instead of occasional. Client results vary.,See reputation marketing,Instagram; Facebook; LinkedIn; GBP,public/site-media/proof/chris-matthews-reviews.png,1080x1350 PNG
13,5,2026-09-01,Education and guidance,Awareness,13-clicks-aren-t-booked-cars.png,Editorial statement,Clicks aren't booked cars.,"Clicks can tell you that someone noticed an ad. They cannot tell you whether the phone was answered well, the appointment was booked, or the right car reached the bay. Follow the metric all the way to the shop.",What are you tracking?,Instagram; Facebook; LinkedIn,Turnkey original typography and diagrams,1080x1350 PNG
14,5,2026-09-03,Shop-owner reality,Awareness,14-empty-bays-are-expensive.png,Documentary photo,Empty bays are expensive.,"Do not wait for empty bays to start thinking about demand. A steady marketing plan gives the shop more control over timing, customer mix, and the pressure of a slow week.",Save this,Instagram; Facebook,public/social-creatives/turnkey-30-v3/supporting-images/empty-service-bay.png,1080x1350 PNG
15,5,2026-09-05,Education and guidance,Awareness,15-the-phone-call-is-marketing.png,Documentary photo,The phone call is marketing.,"The phone call is part of marketing. Offer fit, advisor language, availability, and follow-up all affect whether paid demand becomes a booked car. Share this with the person who answers your phones.",Share with your front counter,Instagram; Facebook; LinkedIn,public/social-creatives/turnkey-30-v3/supporting-images/service-advisor-phone.png,1080x1350 PNG
16,6,2026-09-08,Education and guidance,Awareness,16-direct-mail-still-works.png,Working note,Direct mail still works.,"Direct mail still works when the list, offer, timing, and follow-up are treated as one campaign. The channel is not the strategy. The plan is.",Save this,Instagram; Facebook; LinkedIn; GBP,public/social-creatives/turnkey-30-v3/supporting-images/direct-mail-planning.png,1080x1350 PNG
17,6,2026-09-10,Shop-owner reality,Awareness,17-keep-the-customers-you-earned.png,Documentary photo,Keep the customers you earned.,"You already paid to earn the customer. Retention protects that investment with a steady rhythm of newsletters, thank-you messages, reminders, and relevant reasons to return.",Learn about retention,Instagram; Facebook; GBP,public/site-media/pearson-auto-repair-shop.webp,1080x1350 PNG
18,6,2026-09-12,Education and guidance,Trust,18-track-what-matters.png,Documentary photo,Track what matters.,"A useful report helps the owner decide. Start with calls, booked appointments, repair-order quality, car count, returning customers, and revenue — then ask what should change next.",Save the metric list,Instagram; Facebook; LinkedIn,public/social-creatives/turnkey-30-v3/supporting-images/owner-reviewing-report.png,1080x1350 PNG
19,7,2026-09-15,Education and guidance,Trust,19-calls-cars-revenue.png,Working note,Calls. Cars. Revenue.,"Good reporting connects the steps: demand creates calls, call handling creates appointments, appointments create cars, and the right cars create defensible revenue. Where does your current report stop?",See how we report,Instagram; Facebook; LinkedIn,Turnkey original typography and diagrams,1080x1350 PNG
20,7,2026-09-17,Education and guidance,Awareness,20-market-to-the-right-car.png,Documentary photo,Market to the right car.,"More volume is not automatically better marketing. The plan should attract the customers, vehicles, and work that fit the shop's capabilities and long-term goals.",Who is your ideal customer?,Instagram; Facebook; LinkedIn,public/site-media/mm-shop.webp,1080x1350 PNG
21,7,2026-09-19,Education and guidance,Trust,21-make-the-next-move-obvious.png,Working note,Make the next move obvious.,"A marketing plan should make the next move obvious. It should account for the market, available capacity, business goals, and the customer mix the shop actually wants.",Save this,Instagram; Facebook; LinkedIn,public/site-media/marketing-plan.webp,1080x1350 PNG
22,8,2026-09-22,Services and conversion,Consideration,22-your-outside-marketing-department.png,Service story,Your outside marketing department.,"VIP Marketing Manager gives the shop an outside marketing department: strategy, creative, execution, coordination, and reporting under one accountable team.",Explore VIP Marketing Manager,Instagram; Facebook; LinkedIn,public/site-media/team-turnkey-2025.webp,1080x1350 PNG
23,8,2026-09-24,Services and conversion,Consideration,23-targeted-tracked-transparent.png,Working note,Targeted. Tracked. Transparent.,"DirectTrack creates a clear acquisition lane: target the right audience, reach them across relevant channels, track the response, and improve the next campaign with real reporting.",Explore DirectTrack,Instagram; Facebook; LinkedIn,Turnkey original typography and diagrams,1080x1350 PNG
24,8,2026-09-26,Services and conversion,Consideration,24-mail-with-a-plan.png,Documentary photo,Mail with a plan.,"Managed direct mail is more than sending a postcard. Turnkey coordinates the design, list, offer, timing, verification, and reporting as one campaign.",Explore Direct Mail,Instagram; Facebook; LinkedIn; GBP,public/social-creatives/turnkey-30-v3/supporting-images/direct-mail-planning.png,1080x1350 PNG
25,9,2026-09-29,Education and guidance,Awareness,25-consistency-beats-random-posting.png,Documentary photo,Consistency beats random posting.,"Random posting creates random expectations. A useful social presence needs a repeatable rhythm, recognizable point of view, and content that earns attention before it asks for action.",Save this,Instagram; Facebook; LinkedIn,public/images/team/20230303-turnkeyvisionexpo0048.jpg,1080x1350 PNG
26,9,2026-10-01,Shop-owner reality,Awareness,26-bring-them-back.png,Editorial statement,Bring them back.,Acquisition earns the first visit. Retention earns the next one. Keep the relationship active after the repair instead of starting from zero every time the schedule needs support.,Learn about retention,Instagram; Facebook; GBP,Turnkey original typography and diagrams,1080x1350 PNG
27,9,2026-10-03,Services and conversion,Consideration,27-connect-the-moving-pieces.png,Working note,Connect the moving pieces.,"Reviews, Google Business Profile, the website, and outside vendors should reinforce one another. Turnkey helps connect those moving pieces into one accountable digital plan.",Explore Digital Marketing,Instagram; Facebook; LinkedIn,Turnkey original typography and diagrams,1080x1350 PNG
28,10,2026-10-06,Services and conversion,Consideration,28-need-a-boost.png,Documentary photo,Need a boost?,"When timing matters, a focused campaign can move faster than a full rebuild. Boost Days coordinate strategy, email, text, social, and call review around a specific demand need.",Explore Boost Days,Instagram; Facebook; GBP,public/site-media/pearson-auto-repair-bays.webp,1080x1350 PNG
29,10,2026-10-08,Shop-owner reality,Trust,29-make-the-decision-clear.png,Editorial statement,Make the decision clear.,"A useful marketing conversation ends with four decisions: what to keep, what to fix, what to stop funding, and what to run next. Which one is hardest to answer right now?",Which one do you need?,Instagram; Facebook; LinkedIn,Turnkey original typography and diagrams,1080x1350 PNG
30,10,2026-10-10,Services and conversion,Conversion,30-get-marketing-off-your-plate.png,Documentary photo,Get marketing off your plate.,Ready for a clearer plan and one team to own the execution? Book a consultation at turnkeymarketing.us and find out what Turnkey should take off your plate next.,Book a consultation,Instagram; Facebook; LinkedIn,public/site-media/team-turnkey-2025.webp,1080x1350 PNG
